ID,Label
5227,No
5228,Yes
5229,No
5230,Yes
5231,Yes
5232,No
5233,Yes
5234,No
5235,No
5236,Yes
5237,No
5238,No
5239,No
5240,No
5241,Yes
5242,Yes
5243,No
5244,No
5245,No
5246,Yes
5247,No
5248,No
5249,No
5250,No
5251,No
5252,Yes
5253,No
5254,Yes
5255,No
5256,No
5257,No
5258,No
5259,No
5260,No
5261,No
5262,Yes
5263,Yes
5264,Yes
5265,No
5266,No
5267,No
5268,No
5269,Yes
5270,No
5271,No
5272,Yes
5273,Yes
5274,No
5275,Yes
5276,No
5277,No
5278,Yes
5279,Yes
5280,No
5281,No
5282,Yes
5283,No
5284,Yes
5285,Yes
5286,No
5287,Yes
5288,Yes
5289,Yes
5290,No
5291,Yes
5292,No
5293,Yes
5294,Yes
5295,Yes
5296,No
5297,No
5298,Yes
5299,No
5300,Yes
5301,No
5302,No
5303,No
5304,Yes
5305,No
5306,Yes
5307,No
5308,No
5309,No
5310,No
5311,Yes
5312,Yes
5313,Yes
5314,Yes
5315,Yes
5316,No
5317,Yes
5318,No
5319,Yes
5320,No
5321,No
5322,Yes
5323,No
5324,Yes
5325,Yes
5326,Yes
5327,No
5328,No
5329,Yes
5330,No
5331,No
5332,Yes
5333,Yes
5334,Yes
5335,No
5336,Yes
5337,Yes
5338,No
5339,No
5340,Yes
5341,No
5342,No
5343,Yes
5344,Yes
5345,Yes
5346,Yes
5347,No
5348,Yes
5349,Yes
5350,No
5351,No
5352,Yes
5353,Yes
5354,Yes
5355,No
5356,No
5357,No
5358,No
5359,Yes
5360,Yes
5361,Yes
5362,No
5363,No
5364,No
5365,No
5366,No
5367,No
5368,No
5369,No
5370,Yes
5371,No
5372,No
5373,No
5374,No
5375,No
5376,No
5377,No
5378,Yes
5379,No
5380,No
5381,No
5382,Yes
5383,No
5384,Yes
5385,No
5386,Yes
5387,No
5388,No
5389,Yes
5390,No
5391,Yes
5392,No
5393,No
5394,Yes
5395,No
5396,Yes
5397,No
5398,Yes
5399,No
5400,No
5401,No
5402,No
5403,Yes
5404,No
5405,Yes
5406,Yes
5407,No
5408,No
5409,Yes
5410,Yes
5411,No
5412,No
5413,No
5414,No
5415,No
5416,No
5417,Yes
5418,No
5419,No
5420,No
5421,Yes
5422,No
5423,No
5424,No
5425,No
5426,Yes
5427,No
5428,Yes
5429,No
5430,No
5431,No
5432,No
5433,Yes
5434,No
5435,No
5436,No
5437,No
5438,No
5439,No
5440,No
5441,Yes
5442,No
5443,Yes
5444,No
5445,Yes
5446,Yes
5447,No
5448,No
5449,Yes
5450,Yes
5451,Yes
5452,Yes
5453,Yes
5454,Yes
5455,No
5456,No
5457,No
5458,Yes
5459,No
5460,No
5461,Yes
5462,No
5463,No
5464,Yes
5465,No
5466,Yes
5467,No
5468,No
5469,Yes
5470,Yes
5471,No
5472,Yes
5473,No
5474,No
5475,No
5476,No
5477,Yes
5478,Yes
5479,No
5480,No
5481,No
5482,No
5483,No
5484,Yes
5485,No
5486,No
5487,No
5488,Yes
5489,Yes
5490,Yes
5491,No
5492,Yes
5493,No
5494,No
5495,Yes
5496,No
5497,Yes
5498,No
5499,No
5500,No
5501,No
5502,Yes
5503,No
5504,No
5505,Yes
5506,Yes
5507,No
5508,Yes
5509,No
5510,Yes
5511,No
5512,No
5513,No
5514,No
5515,Yes
5516,Yes
5517,No
5518,No
5519,No
5520,Yes
5521,Yes
5522,Yes
5523,No
5524,Yes
5525,No
5526,Yes
5527,Yes
5528,No
5529,Yes
5530,No
5531,No
5532,Yes
5533,Yes
5534,No
5535,Yes
5536,Yes
5537,No
5538,No
5539,Yes
5540,No
5541,No
5542,No
5543,No
5544,No
5545,Yes
5546,No
5547,Yes
5548,No
5549,No
5550,No
5551,Yes
5552,No
5553,No
5554,No
5555,No
5556,Yes
5557,No
5558,No
5559,Yes
5560,Yes
5561,Yes
5562,Yes
5563,No
5564,Yes
5565,No
5566,Yes
5567,No
5568,Yes
5569,No
5570,No
5571,No
5572,No
5573,Yes
5574,No
5575,No
5576,No
5577,No
5578,Yes
5579,Yes
5580,No
5581,No
5582,No
5583,Yes
5584,No
5585,No
5586,Yes
5587,Yes
5588,No
5589,Yes
5590,No
5591,Yes
5592,Yes
